stock_name, acc_test, acc_eval, expected_value, buy_percent, pred_sell, pred_hold, pred_buy삼성전자,005930,
CJ ENM,035760,
펄어비스,263750,
스튜디오드래곤,253450,
케이엠더블유,032500,
헬릭스미스,084990,
메디톡스,086900,
SK머티리얼즈,036490,
파라다이스,034230,
원익IPS,240810,
휴젤,145020,
메지온,140410,
에스에프에이,056190,
솔브레인,036830,
젬백스,082270,
고영,098460,
제넥신,095700,
이오테크닉스,039030,
컴투스,078340,
셀트리온제약,068760,
에이치엘비생명과학,067630,
신라젠,215600,
에코프로비엠,247540,
아이티엠반도체,084850,
SKC코오롱PI,178920,
리노공업,058470,
에이비엘바이오,298380,
NICE평가정보,030190,
서울반도체,046890,
GS홈쇼핑,028150,
코미팜,041960,
알테오젠,196170,
동진쎄미켐,005290,
씨젠,096530,
아난티,025980,
에스엠,041510,
JYP Ent.,035900,
클래시스,214150,
케어젠,214370,
동국제약,086450,
포스코 ICT,022100,
콜마비앤에이치,200130,
RFHIC,218410,
티씨케이,064760,
안랩,053800,
차바이오텍,085660,
하림지주,003380,
삼천당제약,000250,
지트리비앤티,115450,
파트론,091700,
실리콘웍스,108320,
매일유업,267980,
국일제지,078130,
오스코텍,039200,
비에이치,090460,
엠씨넥스,097520,
아프리카TV,067160,
천보,278280,
덕산네오룩스,213420,
SFA반도체,036540,
디오,039840,
와이지엔터테인먼트,122870,
네패스,033640,
오스템임플란트,048260,
크리스탈,083790,
엔지켐생명과학,183490,
메디포스트,078160,
CMG제약,058820,
서진시스템,178320,
엘앤에프,066970,
웹젠,069080,
에스티팜,237690,
레고켐바이오,141080,
위메이드,112040,
코웰패션,033290,
녹십자셀,031390,
테스,095610,
에코프로,086520,
에코마케팅,230360,
셀리버리,268600,
카페24,042000,
AP시스템,265520,
코오롱티슈진,950160,
NHN한국사이버결제,060250,
이녹스첨단소재,272290,
휴온스,243070,
현대바이오,048410,
메가스터디교육,215200,
서부T&D,006730,
상상인,038540,
한국아트라스비엑스,023890,
코엔텍,029960,
KG이니시스,035600,
위닉스,044340,
나노스,151910,
아미코젠,092040,
KH바텍,060720,
원익홀딩스,030530,
유틸렉스,263050,
바텍,043150,
지노믹트리,228760,
텔콘RF제약,200230,
원익QnC,074600,
다원시스,068240,
클리오,237880,
코리아센터,290510,
와이솔,122990,
이엔에프테크놀로지,102710,
유진테크,084370,
골프존,215000,
톱텍,108230,
인트론바이오,048530,
주성엔지니어링,036930,
네이처셀,007390,
유비쿼스홀딩스,078070,
테스나,131970,
한국정보통신,025770,
삼표시멘트,038500,
오이솔루션,138080,
하나머티리얼즈,166090,
에이스침대,003800,
메드팩토,235980,
티움바이오,321550,
대아티아이,045390,
네오위즈,095660,
녹십자랩셀,144510,
에이스테크,088800,
인터플렉스,051370,
원익머트리얼즈,104830,
세경하이테크,148150,
네오팜,092730,
피에스케이,319660,
동원개발,013120,
휴온스글로벌,084110,
엘비세미콘,061970,
뷰웍스,100120,
SNK,950180,
사람인에이치알,143240,
파워로직스,047310,
유진기업,023410,
올리패스,244460,
브릿지바이오테라퓨틱스,288330,
안트로젠,065660,
브이티지엠피,018290,
아이센스,099190,
덕산테코피아,317330,
에스티아이,039440,
다나와,119860,
에치에프알,230240,
CJ프레시웨이,051500,
파마리서치프로덕트,214450,
드림어스컴퍼니,060570,
압타바이오,293780,
인선이엔티,060150,
남화산업,111710,
다우데이타,032190,
모두투어,080160,
에스앤에스텍,101490,
동화기업,025900,
엔케이맥스,182400,
유니테스트,086390,
아나패스,123860,
슈피겐코리아,192440,
SK바이오랜드,052260,
유티아이,179900,
웹케시,053580,
비츠로셀,082920,
뉴지랩,214870,
인바디,041830,
아이씨디,040910,
레이,228670,
바이오솔루션,086820,
유비케어,032620,
에스티큐브,052020,
나이스정보통신,036800,
테크윙,089030,
JTC,950170,
에스맥,097780,
성광벤드,014620,
연우,115960,
이베스트투자증권,078020,
동성화인텍,033500,
파크시스템스,140860,
성우하이텍,015750,
아모텍,052710,
비덴트,121800,
인터로조,119610,
나스미디어,089600,
미래컴퍼니,049950,
이지바이오,035810,
라온피플,300120,
다산네트웍스,039560,
심텍,222800,
쏠리드,050890,
에이치엘사이언스,239610,
한글과컴퓨터,030520,
태광,023160,
아이디스,143160,
해마로푸드서비스,220630,
마크로젠,038290,
루미마이크로,082800,
한국전자금융,063570,
한국기업평가,034950,
펩트론,087010,
신흥에스이씨,243840,
세틀뱅크,234340,
야스,255440,
앱클론,174900,
인텔리안테크,189300,
대주전자재료,078600,
코나아이,052400,
파멥신,208340,
쇼박스,086980,
코미코,183300,
아모그린텍,125210,
슈프리마,236200,
올릭스,226950,
와이아이케이,232140,
테라젠이텍스,066700,
캠시스,050110,
SBI핀테크솔루션즈,950110,
하림,136480,
모다이노칩,080420,
펌텍코리아,251970,
대한광통신,010170,
셀리드,299660,
넥슨지티,041140,
디앤씨미디어,263720,
하이록코리아,013030,
바이넥스,053030,
HB테크놀러지,078150,
서희건설,035890,
켐트로닉스,089010,
이원컴포텍,088290,
한스바이오메드,042520,
SKC 솔믹스,057500,
상아프론테크,089980,
웨이브일렉트로,095270,
우리기술투자,041190,
키이스트,054780,
앤디포스,238090,
레이언스,228850,
이크레더블,092130,
세종텔레콤,036630,
큐리언트,115180,
코윈테크,282880,
와이지-원,019210,
휴메딕스,200670,
제로투세븐,159580,
